,AF,CF,dox,MF,ctrl,max_s
95,False,False,False,False,False,0.0697145146341826
96,False,False,False,True,False,0.3174981830358206
97,True,True,False,True,False,1.3988116787789555
98,False,False,False,True,False,0.3542545579894611
99,False,True,False,True,False,1.006504947914793
100,False,True,False,True,False,1.084983451603782
101,False,False,False,True,False,0.3117200858076696
102,False,False,False,False,False,0.0253517325057649
103,True,True,False,True,False,1.3489500440894329
104,False,False,False,False,False,0.0969480179842834
105,False,False,False,False,False,-0.0081820316128019
106,False,False,False,False,False,0.0235856144119332
107,False,False,False,False,False,0.0078694314439813
108,False,False,False,True,False,0.6211085188069346
109,False,False,False,False,False,-0.002062755046381
110,False,False,False,False,False,0.1152484614431279
111,False,False,False,False,False,0.026175678719546
112,True,True,False,True,False,1.7269865607718633
113,False,False,False,True,False,1.1963601055552475
114,True,True,False,True,False,1.8826446191677708
115,False,False,False,False,False,0.0869889950971929
116,False,False,False,False,False,0.0631559499218409
117,False,False,False,False,False,0.0613089746193673
118,False,False,False,False,False,0.2305463403595253
119,False,False,False,True,False,0.7680143413703577
120,True,True,False,True,False,1.8182759335489
121,False,False,False,False,False,0.0112080593333195
122,False,False,False,False,False,0.0145715269932716
123,False,False,False,True,False,0.2785595322573418
124,False,True,False,True,False,1.3795261964127108
125,False,False,False,False,False,0.1848480827902002
126,False,False,False,False,False,0.0251291479188562
127,False,True,False,False,False,0.5339659208890474
128,False,True,False,True,False,0.5523279237301341
129,False,False,False,False,False,0.1542174950934947
130,False,False,False,False,False,0.0945403488941066
131,True,True,False,True,False,1.0106011411863007
132,False,False,False,False,False,-0.0038836469826411
133,False,False,False,False,False,0.100068242304646
134,False,True,False,True,False,0.863253999467563
